ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
620-27-5618|4874016400529|Mark|Green|M|680 Charles Spurs Apt. 805|Hilo|HI|96720|19.7025|-155.0939|46165|Television floor manager|1988-08-02|161286867170|adults_2550_male_urban.json
131-06-5051|345331586923222|Sierra|Johnson|F|3421 Brennan Walks Suite 337|Downey|CA|90242|33.9218|-118.1395|111772|Maintenance engineer|1986-08-16|903253916954|adults_2550_female_urban.json
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Oro Valley|AZ|85755|32.4738|-110.9553|15107|Commercial art gallery manager|1961-09-29|989496879843|adults_50up_female_urban.json
195-33-0728|3508835615951480|Ellen|Ortiz|F|482 Robert Light Apt. 994|Jacksonville|FL|32259|30.0956|-81.6217|847415|Optician, dispensing|1983-08-14|917181406434|adults_2550_female_urban.json
312-37-3444|6577738721489511|Robert|Potter|M|32003 Carr Trafficway Apt. 769|Lyndonville|VT|05851|44.5555|-72.0715|6528|Engineer, broadcasting (operations)|2004-01-06|767589450881|young_adults_male_urban.json
507-52-3998|4163287083172781|William|Larson|M|868 Merritt Summit Suite 743|Great Falls|MT|59404|47.5098|-111.3405|72079|Health and safety inspector|1984-01-23|857987636625|adults_2550_male_urban.json
497-81-3920|4143455812236231660|Gary|Owens|M|66909 Woods Knoll|Dallas|TX|75214|32.8248|-96.7498|1263321|Hydrogeologist|1997-09-26|428437913341|adults_2550_male_urban.json
552-96-8948|3573467065627293|Joseph|Meadows|M|62720 Gray Forest|Marion|IN|46952|40.5743|-85.6741|44485|Programme researcher, broadcasting/film/video|1960-04-04|370770979513|adults_50up_male_urban.json
285-97-6907|4708053100330923275|Maureen|Elliott|F|4529 Kimberly Estates|Calexico|CA|92231|32.6832|-115.5028|39073|Insurance risk surveyor|1951-11-24|636119440405|adults_50up_female_urban.json
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Gold Canyon|AZ|85118|33.3284|-111.3502|12246|Solicitor|1988-11-15|531608037091|adults_2550_male_urban.json
447-94-9708|4314737996507527356|Robert|Peterson|M|083 John Lodge Suite 837|Silver Spring|MD|20905|39.1148|-77.0059|282095|Recycling officer|1968-10-26|869508288813|adults_50up_male_urban.json
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Watsontown|PA|17777|41.102|-76.8532|7056|Therapist, speech and language|2001-08-02|915259790398|young_adults_female_urban.json
304-30-5913|4082400842710944|Julie|Alexander|F|47116 Jones Roads|Houston|TX|77084|29.844|-95.6623|2906700|Astronomer|1972-08-09|163860419795|adults_50up_female_urban.json
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|Roseville|MI|48066|42.5034|-82.9387|47388|Accountant, chartered|1993-02-24|495675808653|adults_2550_male_urban.json
609-61-4772|564471349360|Ashley|Walker|F|2102 Larson Views|Boynton Beach|FL|33472|26.5384|-80.1856|155385|Teacher, adult education|1992-06-16|317489104406|adults_2550_female_urban.json
128-60-4983|3548877190659403|Anna|Hayden|F|490 Thomas Run|Kokomo|IN|46902|40.4509|-86.1352|73330|Private music teacher|1999-12-10|308877180672|young_adults_female_urban.json
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Conroe|TX|77385|30.1877|-95.4288|130233|Arts development officer|1976-03-05|292932052116|adults_2550_female_urban.json
135-37-7179|3510932480861310|Julia|Wilson|F|4846 Baird Gardens|Fort Worth|TX|76131|32.8632|-97.3377|813980|Programmer, multimedia|1966-09-08|161281455424|adults_50up_female_urban.json
196-77-8328|3514658404499723|Jill|Washington|F|867 Kane Square Apt. 963|Jessup|MD|20794|39.1484|-76.7922|14098|Paediatric nurse|1963-01-19|348079814698|adults_50up_female_urban.json
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Alexandria|VA|22315|38.7596|-77.1485|321490|Social research officer, government|1947-02-03|688554816658|adults_50up_male_urban.json
778-63-8865|676213431619|Paige|Padilla|F|2400 Flynn Hill|Marion Center|PA|15759|40.7814|-79.0252|3004|Mechanical engineer|1960-06-14|474056332778|adults_50up_female_urban.json
251-68-6752|3522196937923745|Joe|Estrada|M|8217 Huerta Hills Suite 474|Reno|NV|89509|39.498|-119.8239|276896|Engineer, civil (contracting)|1973-12-14|425199071794|adults_50up_male_urban.json
110-31-6249|3594406409097438|Lawrence|Gomez|M|421 Kyle Mill|Selma|NC|27576|35.5565|-78.264|17091|Analytical chemist|1973-06-10|401921209060|adults_50up_male_urban.json
093-38-5353|3523285884247452|Regina|Mcdonald|F|36851 Smith Plain|Fort Worth|TX|76114|32.7796|-97.3928|813980|Community pharmacist|1972-06-21|405680216951|adults_50up_female_urban.json
767-87-4296|3551370985931744|Marie|Wilson|F|47113 Paul Land|Berea|OH|44017|41.3676|-81.8618|19161|Sound technician, broadcasting/film/video|1991-11-22|646045230097|adults_2550_female_urban.json
425-84-1623|36405377351589|Stephanie|Newman|F|4317 Elizabeth Row|Seguin|TX|78155|29.5613|-97.9628|45341|Therapist, speech and language|1950-04-04|25645650502|adults_50up_female_urban.json
806-43-3991|4183933529042288|Danielle|Thompson|F|05395 Grant Center|Satsuma|FL|32189|29.5594|-81.6406|5807|Computer games developer|1987-09-20|462747155483|adults_2550_female_urban.json
117-96-1042|38589178390843|Jimmy|Maynard|M|6617 Jones Common|Los Angeles|CA|90025|34.0447|-118.4487|2383912|IT technical support officer|1981-11-24|161526407509|adults_2550_male_urban.json
130-36-9591|180069847896112|Sarah|Curtis|F|7365 Ross Stream|Aurora|CO|80010|39.7368|-104.8646|389246|Chief of Staff|1936-03-27|469493820213|adults_50up_female_urban.json
682-33-6133|4111161528098856|Michael|Jenkins|M|049 Bell Ports Apt. 273|Hamburg|NY|14075|42.7334|-78.8389|41937|Clinical cytogeneticist|1948-08-19|929216664078|adults_50up_male_urban.json
377-15-4565|3568998094024455|Gregory|White|M|612 Christopher Pines|Medford|OR|97504|42.3363|-122.8398|86561|Engineer, structural|1953-12-05|461177243339|adults_50up_male_urban.json
350-21-6063|4991022901476797641|Cindy|Hunt|F|1497 Williams Locks Apt. 034|Bridgeton|NJ|08302|39.3762|-75.1617|46872|Engineer, mining|1945-06-08|153619596480|adults_50up_female_urban.json
297-42-1966|675962268388|Justin|Barnett|M|60607 Michelle Ports Suite 966|Marietta|GA|30067|33.9282|-84.4733|302309|Horticultural consultant|1931-09-10|442876297368|adults_50up_male_urban.json
333-22-7539|3516136968164536|Felicia|Jackson|F|835 Luna Viaduct|Portland|OR|97229|45.5483|-122.8276|841711|Data scientist|1986-09-16|112683916677|adults_2550_female_urban.json
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Salt Lake City|UT|84106|40.7056|-111.8548|594043|Camera operator|2000-12-24|951956593813|young_adults_male_urban.json
630-77-8308|6598079359782074|Ashley|Nolan|F|182 John Mill Suite 889|Montrose|MN|55363|45.0442|-93.9139|4496|Designer, interior/spatial|1931-01-27|409584822948|adults_50up_female_urban.json
397-53-5544|4515186449251922|Sydney|Collins|F|91486 Li Skyway Apt. 685|Easthampton|MA|01027|42.3683|-72.7688|17660|Adult nurse|1945-08-16|340859761513|adults_50up_female_urban.json
220-44-7968|4221418880595|Bonnie|Bennett|F|92706 Rhodes Freeway|Hutto|TX|78634|30.5257|-97.5672|22791|Producer, radio|1932-02-18|311860132678|adults_50up_female_urban.json
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Atlanta|GA|30310|33.7278|-84.4232|900273|Production assistant, television|1962-04-11|566528976346|adults_50up_female_urban.json
851-56-1503|4506068536152|Courtney|Flores|F|522 Justin Village|Madisonville|TN|37354|35.4916|-84.3395|16483|Public house manager|1965-01-05|913522673163|adults_50up_female_urban.json
778-91-7686|30010432898610|Ricardo|Young|M|36971 Mary Parks|Fraziers Bottom|WV|25082|38.5517|-82.0111|1673|Therapist, speech and language|1981-09-20|19482202674|adults_2550_male_rural.json
528-74-3964|3546095396218518|Tiffany|Stephens|F|7065 Burgess Knolls|Troy|MO|63379|39.0012|-90.9624|23348|Broadcast journalist|2003-07-02|263473920508|young_adults_female_urban.json
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Heath|OH|43056|40.0197|-82.3875|17439|Engineer, aeronautical|2002-05-11|392070860877|young_adults_male_urban.json
887-84-5439|4566765277584161694|Whitney|White|F|1154 Griffin Stravenue Suite 275|Wichita|KS|67215|37.6333|-97.425|409656|Product manager|1977-08-17|799045831074|adults_2550_female_urban.json
630-56-4499|4165820297021358|Jack|Herring|M|275 Wallace Club|Daytona Beach|FL|32114|29.2012|-81.0371|145713|Teacher, secondary school|1967-12-30|580411980930|adults_50up_male_urban.json
408-41-4567|4027868144733|Zachary|Mitchell|M|12172 Osborn Valleys Suite 518|Flint|MI|48532|43.0111|-83.803|162969|Special effects artist|1954-06-26|980499639968|adults_50up_male_urban.json
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Ridge|NY|11961|40.9018|-72.8881|12834|Comptroller|1959-03-16|352068690122|adults_50up_male_urban.json
076-58-7633|4289226801824223|Erica|Fletcher|F|414 Cynthia Plaza Suite 249|Las Vegas|NV|89138|36.1666|-115.3613|1417793|Social research officer, government|1939-11-08|550157085827|adults_50up_female_urban.json
173-76-9514|4995900109439695|Mark|Jimenez|M|473 Evans Cliffs Apt. 276|Los Angeles|CA|90057|34.0622|-118.2763|2383912|Radio broadcast assistant|2001-10-22|225333063288|young_adults_male_urban.json
622-19-5122|3556258815371477|David|Davis|M|9632 Peck Stravenue Suite 327|Columbus|OH|43240|40.1454|-82.9817|783285|Scientist, biomedical|1998-07-29|547465802270|adults_2550_male_urban.json
510-03-1476|6533950047974802|Sarah|Jordan|F|565 Richard Port Apt. 584|Bridgewater|VA|22812|38.3859|-78.9937|8927|Buyer, retail|1954-07-01|555710136742|adults_50up_female_urban.json
783-71-4583|3521655852398689|Andrew|Williams|M|8729 Mark Ridge Suite 269|Rock Island|WA|98850|47.3706|-120.1378|1543|Hydrographic surveyor|1989-04-28|371917215429|adults_2550_male_rural.json
849-66-8722|30470551694093|John|Coffey|M|097 Alexandria Stravenue|Madison|ME|04950|44.8096|-69.8449|4855|Water quality scientist|1977-04-05|926744876615|adults_2550_male_urban.json
152-88-3969|676213075622|Jennifer|Harris|F|028 Ann Shore Suite 865|New York City|NY|10023|40.7764|-73.9827|1577385|Early years teacher|1994-12-07|375951918053|adults_2550_female_urban.json
363-87-4332|3533484344375759|Justin|Michael|M|1986 Cardenas Trail Apt. 404|Auburn|AL|36832|32.592|-85.5189|55272|Careers information officer|1936-08-02|719159529356|adults_50up_male_urban.json
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Hollywood|FL|33029|25.9924|-80.4089|420284|IT sales professional|1988-09-21|709895453406|adults_2550_male_urban.json
788-12-9407|4262067240046|Keith|Rodriguez|M|7887 Melissa Mountain Suite 315|Elmont|NY|11003|40.6976|-73.7049|41356|Designer, textile|1947-01-05|505651306822|adults_50up_male_urban.json
264-92-3051|060454932967|Ronald|Robertson|M|1227 Boyle Avenue|Brandywine|MD|20613|38.6922|-76.832|11860|Games developer|1964-01-21|259345477235|adults_50up_male_urban.json
772-35-5401|4453017426841459337|Tina|Mendoza|F|956 Todd Unions Apt. 391|Sunbury|PA|17801|40.8551|-76.7776|16671|Secondary school teacher|1991-03-14|581739352909|adults_2550_female_urban.json
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|Salem|OH|44460|40.9|-80.8619|26732|Accountant, chartered certified|1996-12-12|239426407161|adults_2550_female_urban.json
075-06-6942|348017046226564|Jerry|Stark|M|1825 Gregory Plain Suite 823|Mount Olive|WV|25185|38.0413|-81.0648|1042|Accountant, chartered certified|2000-09-05|24722602367|young_adults_male_rural.json
475-87-8921|6533752431069037|Christine|Garcia|F|9030 Gonzales Plains|Oxnard|CA|93035|34.1822|-119.216|211523|Engineer, water|1984-02-24|952427834357|adults_2550_female_urban.json
144-65-4740|4995342836449|Amy|Fry|F|687 Teresa Row|Antioch|CA|94509|37.9939|-121.8089|102729|Museum/gallery curator|1991-12-02|578900622716|adults_2550_female_urban.json
714-54-6689|4628733427086681|Joseph|Price|M|51751 Brett Lane Apt. 139|Kannapolis|NC|28083|35.4848|-80.6015|49010|Surveyor, land/geomatics|1982-11-05|524918088976|adults_2550_male_urban.json
891-43-4968|563173936383|Frank|Campbell|M|544 Hunt Parks Suite 175|Irvine|CA|92602|33.7419|-117.7467|212569|Engineer, electronics|1960-02-08|345189549205|adults_50up_male_urban.json
047-73-3626|3504899642353692|Roy|Porter|M|7772 Jackson Stravenue Suite 280|Hampton|VA|23669|37.0436|-76.3426|136895|Scientist, research (physical sciences)|2000-01-31|919268273279|young_adults_male_urban.json
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Pompano Beach|FL|33064|26.2785|-80.1157|425636|Retail buyer|1995-07-12|767996662339|adults_2550_female_urban.json
441-23-1754|2623398454615676|Krystal|Branch|F|1016 Bennett Mountains|Oakland|MD|21550|39.4339|-79.3167|14194|Banker|1942-12-07|11324746755|adults_50up_female_urban.json
176-11-8190|6591803397401489|Kristy|Johnson|F|39261 Martin Garden Suite 856|Summerfield|FL|34491|29.0112|-82.0325|27454|Counselling psychologist|1987-11-30|797529515996|adults_2550_female_urban.json
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Renton|WA|98056|47.5073|-122.1819|141407|Podiatrist|1939-09-01|748122047461|adults_50up_female_urban.json
677-49-1405|3531142626551107|Tommy|Wallace|M|21267 Garcia Corners Suite 819|Staten Island|NY|10306|40.5682|-74.1184|468730|Therapist, sports|1992-12-08|359851424229|adults_2550_male_urban.json
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Placedo|TX|77977|28.6923|-96.8254|718|Programmer, systems|1956-02-08|146488330909|adults_50up_female_rural.json
007-51-5444|3557569245937524|Vincent|Novak|M|793 Bennett Viaduct Suite 519|Concord|NC|28025|35.3716|-80.53|104595|Engineer, communications|1999-05-14|199911954718|adults_2550_male_urban.json
787-71-0441|3537416724342666|Benjamin|Ewing|M|688 Stephens Turnpike Suite 891|Dilworth|MN|56529|46.8782|-96.7022|4026|Clinical embryologist|1962-03-13|273885572142|adults_50up_male_urban.json
681-46-2726|4965610143888999|Daniel|Brooks|M|982 Cuevas Orchard Apt. 461|Rockville|MD|20850|39.087|-77.168|130569|Commercial art gallery manager|1935-05-17|157754796139|adults_50up_male_urban.json
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Central City|KY|42330|37.3007|-87.1202|9386|Psychologist, counselling|1977-11-07|877169140360|adults_2550_male_urban.json
645-24-3054|4609379660334199|Ashley|Wiggins|F|5371 Lambert Overpass|Louisville|KY|40213|38.1839|-85.7106|736284|Secretary, company|1971-10-12|704228248578|adults_50up_female_urban.json
612-50-6432|3555792499125131|Elizabeth|White|F|669 Bailey Manors|Middlesex|NC|27557|35.7665|-78.2062|7509|Electronics engineer|1930-08-30|697874934613|adults_50up_female_urban.json
711-83-2839|213174225790506|John|Lee|M|876 Perry Ville Suite 721|Chicago|IL|60617|41.7257|-87.556|2680484|Systems analyst|1976-04-14|872010906800|adults_2550_male_urban.json
300-05-4504|4279788191480|Samantha|Richardson|F|783 Garcia Village|Kalamazoo|MI|49006|42.2922|-85.633|158937|Firefighter|1975-07-03|959056357132|adults_2550_female_urban.json
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Midlothian|TX|76065|32.4757|-96.9936|28986|Paramedic|1973-02-04|68370591034|adults_50up_male_urban.json
888-84-2079|3532536729466718|Madeline|Beard|F|8457 Murphy Alley|Kernersville|NC|27284|36.1165|-80.0831|51136|Chief Financial Officer|1933-06-08|697753726506|adults_50up_female_urban.json
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|Clarkesville|GA|30523|34.645|-83.5243|12904|Phytotherapist|1971-08-06|999389892260|adults_50up_male_urban.json
667-39-2605|4541520643611037125|Kevin|Stone|M|05162 Jones Lights Apt. 115|Gilson|IL|61436|40.8765|-90.1747|951|Mental health nurse|1945-06-27|330201333423|adults_50up_male_rural.json
392-97-2182|4189092753269739|Angelica|Garcia|F|656 Moody Gateway|Saint Charles|MO|63301|38.8014|-90.5065|134684|Health and safety inspector|1961-08-31|92962937500|adults_50up_female_urban.json
567-77-9831|3504389836403768|Ashley|Porter|F|055 Paul Villages|Westlake Village|CA|91361|34.1472|-118.8383|20438|Teacher, adult education|1976-06-11|401239553647|adults_2550_female_urban.json
700-23-7718|5191043006848665|Michael|Miller|M|1418 Terri Drives|Meridian|ID|83642|43.615|-116.3975|84106|Software engineer|1987-08-03|430900111440|adults_2550_male_urban.json
650-98-1084|4303161799042102026|Kathleen|Reed|F|52410 Roman Groves Apt. 491|Jackson|NJ|08527|40.121|-74.3017|54392|Research scientist (maths)|1954-12-14|560300808050|adults_50up_female_urban.json
057-64-9288|4241913800030756|James|Hernandez|M|635 Robert Stravenue|Westfield|NY|14787|42.322|-79.5726|5121|IT consultant|1985-04-02|907403143513|adults_2550_male_urban.json
586-48-1957|213123806174457|Angelica|Bryant|F|49493 Richardson Park Apt. 832|Allen|TX|75013|33.1186|-96.6773|93487|Accounting technician|1971-08-25|450681215698|adults_50up_female_urban.json
239-70-5676|4506413836702411|Amanda|Hall|F|571 William Route Suite 199|San Diego|CA|92109|32.7969|-117.2405|1241364|Biomedical engineer|2002-10-24|727717710246|young_adults_female_urban.json
243-38-4277|375574313291214|Carly|Owens|F|85374 Baker Crest Apt. 249|Huntington Beach|CA|92647|33.721|-118.0033|190249|Architect|1991-06-12|915751541289|adults_2550_female_urban.json
152-12-4067|378044206788319|Julia|Lara|F|00323 Watson Roads|Los Angeles|CA|90034|34.029|-118.4005|2383912|Chartered accountant|1965-02-25|646746156066|adults_50up_female_urban.json
833-10-0358|2237215107029667|Jon|Reyes|M|53244 Stephenson Bypass Apt. 476|Dallas|TX|75214|32.8248|-96.7498|1263321|Statistician|1975-10-21|66481931623|adults_2550_male_urban.json
287-50-2249|6011838065787597|Kathryn|Price|F|59304 Lindsey Mountains|New Port Richey|FL|34654|28.3022|-82.6264|115083|Senior tax professional/tax inspector|1962-12-26|843348752593|adults_50up_female_urban.json
239-21-1641|4480396522393|Emily|Rojas|F|059 Anna Field Suite 842|Los Altos|CA|94024|37.3547|-122.0862|40885|Recycling officer|1990-11-14|98947300855|adults_2550_female_urban.json
239-78-3585|676170593252|Mitchell|Sellers|M|02921 Yu Landing Suite 915|Vicksburg|MS|39180|32.3258|-90.8506|48264|Immigration officer|1963-11-29|147414458291|adults_50up_male_urban.json
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|New York City|NY|10128|40.7816|-73.9511|1577385|Learning disability nurse|1965-05-11|84805603866|adults_50up_female_urban.json
356-41-2751|4570433154100676|Nicholas|Costa|M|6586 Maria Turnpike Apt. 271|Houston|TX|77028|29.8297|-95.2879|2906700|Analytical chemist|1992-02-05|22741459331|adults_2550_male_urban.json
268-14-1216|346218159970624|Lisa|Hamilton|F|53368 Guerrero Hills|Charlotte|NC|28215|35.244|-80.7387|790689|Field seismologist|1970-11-04|51951563323|adults_50up_female_urban.json
586-71-8044|4506149731032419|John|Wilson|M|7418 Lopez Light Suite 270|Lake Placid|FL|33852|27.2945|-81.3649|21790|General practice doctor|1989-05-14|512989778945|adults_2550_male_urban.json
232-35-9245|503811586935|Kristen|Randall|F|793 Evans Locks Apt. 898|Las Vegas|NV|89141|36.0104|-115.2073|1417793|Teacher, music|2002-12-17|161577842715|young_adults_female_urban.json
776-58-2833|4320616329451163|Kristie|Arnold|F|709 Rodriguez Drive Apt. 999|Santa Fe Springs|CA|90670|33.9464|-118.0838|14866|Chiropodist|1936-02-03|119936653222|adults_50up_female_urban.json
799-13-4688|180064679970242|Jennifer|Montgomery|F|65307 Prince Brooks Suite 444|Prestonsburg|KY|41653|37.661|-82.7636|11451|Regulatory affairs officer|1949-02-22|768190268997|adults_50up_female_urban.json
101-30-2202|4546913736785082143|Michelle|Powell|F|33030 Williams Lake|Indianapolis|IN|46227|39.6789|-86.1302|910148|Engineer, civil (contracting)|2001-04-21|404903650217|young_adults_female_urban.json
518-51-2030|4357972798552411|Dustin|Hughes|M|333 Joseph Lodge|Fort Worth|TX|76134|32.6469|-97.3325|813980|Scientific laboratory technician|2003-10-18|949273896633|young_adults_male_urban.json
010-61-2168|4903494466574378|Eric|Meyer|M|108 Hoffman Ranch Suite 417|Bellmawr|NJ|08031|39.8689|-75.0944|11584|Bonds trader|1997-03-19|701267155766|adults_2550_male_urban.json
883-36-4279|4328309652074461|Jared|Doyle|M|3875 Bruce Ville|Mc Kinney|TX|75070|33.1951|-96.6642|144932|Surveyor, insurance|1991-01-23|322900519786|adults_2550_male_urban.json
483-17-4238|3551353465549475|Samuel|Ruiz|M|3816 Gutierrez Ways|Sherrard|IL|61281|41.3027|-90.4939|2597|Dentist|1945-04-27|374522422066|adults_50up_male_urban.json
584-59-2347|341752500743293|Pamela|Burns|F|96666 Reyes Camp|Trumbull|CT|06611|41.2564|-73.2111|36091|Social research officer, government|1988-12-03|804015362037|adults_2550_female_urban.json
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|San Francisco|CA|94129|37.8005|-122.465|805301|Emergency planning/management officer|2003-09-10|445869180665|young_adults_male_urban.json
234-29-2150|4982150648900|Linda|Williams|F|001 Wallace Crossing|Monterey|CA|93940|36.5802|-121.8443|31621|Sports development officer|1976-08-25|520776545528|adults_2550_female_urban.json
157-27-0153|4184992618914117392|Christina|Baker|F|6420 Lozano Spurs|Pompano Beach|FL|33062|26.2343|-80.0941|425636|Quarry manager|1995-11-18|259117969489|adults_2550_female_urban.json
014-86-1459|2717218114374471|Amber|Li|F|5561 Melissa Cape|Kirtland|NM|87417|36.741|-108.351|6910|Acupuncturist|1963-02-04|153983162030|adults_50up_female_urban.json
663-22-5385|379415521667462|Melissa|Mendoza|F|212 Tina Vista Apt. 169|Winter Haven|FL|33880|27.9873|-81.7625|95906|Radiation protection practitioner|2002-07-27|626215958920|young_adults_female_urban.json
449-24-6222|342771670145088|Patricia|Ray|F|588 Ryan Stream|Benton|AR|72019|34.604|-92.6259|50653|Fish farm manager|1944-01-30|380026994241|adults_50up_female_urban.json
693-83-6306|4028772175354087|Courtney|Schneider|F|17797 Melissa Mission Suite 170|Somerset|KY|42503|37.1566|-84.5248|40486|Civil engineer, contracting|1983-08-01|452704326218|adults_2550_female_urban.json
571-71-0003|2720948837550370|Gary|Saunders|M|571 Katherine Forges Apt. 554|Morristown|NJ|07960|40.7952|-74.4873|43751|Sports development officer|1979-03-21|410263801993|adults_2550_male_urban.json
109-06-2690|30261493316378|Samantha|Lee|F|60917 Barrett Parkways Apt. 708|Pittsburgh|PA|15239|40.4837|-79.7381|687276|Art therapist|2004-11-21|920981907761|young_adults_female_urban.json
495-66-2904|3521699586693460|Tracey|Waller|F|26984 Joseph Plaza Apt. 339|Seymour|CT|06483|41.3862|-73.0817|16540|Horticultural therapist|1973-11-28|380906095118|adults_50up_female_urban.json
136-91-2914|180015879968469|Rhonda|Mills|F|2003 Christensen Estates|Tucson|AZ|85748|32.215|-110.7758|865276|Historic buildings inspector/conservation officer|1987-11-16|277813046063|adults_2550_female_urban.json
860-08-4836|4571983863842|Michael|Williams|M|6580 Julia Flats Suite 359|Hempstead|NY|11550|40.7049|-73.6176|59357|Sports coach|1961-12-24|664596582306|adults_50up_male_urban.json
795-93-3171|4212281606484229407|Gary|Mckinney|M|25909 Henry Ports|Denver|CO|80260|39.8672|-105.0041|990452|Statistician|1994-09-07|78847377226|adults_2550_male_urban.json
326-68-3604|4826886153355546|Daniel|Goodwin|M|015 Allen Row Apt. 056|Arvada|CO|80002|39.7945|-105.0984|122111|Clothing/textile technologist|2004-01-29|280830198772|young_adults_male_urban.json
742-37-0405|180088770435813|Tiffany|Jackson|F|133 Houston Ford|Heber City|UT|84032|40.4947|-111.4051|17249|Soil scientist|1943-05-19|772358594412|adults_50up_female_urban.json
663-10-2520|675950110246|Kristin|Andrews|F|6676 Stewart Loaf|Brooklyn|NY|11230|40.6225|-73.965|2504700|Commissioning editor|1968-10-22|6592063444|adults_50up_female_urban.json
738-80-1037|3515814491476608|John|Ferguson|M|684 Kenneth Underpass|Troup|TX|75789|32.1117|-95.1155|7593|Midwife|1992-10-28|605638278518|adults_2550_male_urban.json
145-16-0685|676296881433|Paul|Berger|M|68222 Christina Glen Apt. 129|Dallas|TX|75248|32.9682|-96.7942|1263321|Audiological scientist|1964-11-20|828290403261|adults_50up_male_urban.json
473-83-9006|2261413975523148|Lisa|Mccullough|F|7594 Ariana Lakes Suite 620|Hope Mills|NC|28348|34.9536|-78.9354|33307|Intelligence analyst|1955-09-03|864345740668|adults_50up_female_urban.json
730-95-7146|4257775478129142835|Deborah|Mercado|F|108 Lisa Prairie|Haverhill|MA|01830|42.7856|-71.0721|60879|Ophthalmologist|1982-07-16|651843751630|adults_2550_female_urban.json
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Starbuck|MN|56381|45.5926|-95.5421|2458|Systems developer|1994-03-29|622549976924|adults_2550_female_rural.json
894-19-7922|343731453038560|Julie|Gibson|F|51844 Nicholas Lane|Carthage|TX|75633|32.1544|-94.3527|13977|Medical secretary|1944-06-08|719783599768|adults_50up_female_urban.json
